width(px),distance(px),mt(ms),ID,mean time
48,160,794,,
48,160,285,,
48,160,287,,
48,160,653,,
48,160,312,,
48,160,300,,
48,160,337,,
48,160,296,2.115477217,408
6,320,860,,
6,320,790,,
6,320,1308,,
6,320,1778,,
6,320,775,,
6,320,639,,
6,320,661,,
6,320,738,5.763765654,943.625
48,40,254,,
48,40,779,,
48,40,214,,
48,40,274,,
48,40,211,,
48,40,200,,
48,40,219,,
48,40,191,0.874469118,292.75
24,80,259,,
24,80,637,,
24,80,282,,
24,80,312,,
24,80,571,,
24,80,283,,
24,80,265,,
24,80,227,2.115477217,354.5
24,320,847,,
24,320,460,,
24,320,393,,
24,320,423,,
24,320,423,,
24,320,407,,
24,320,502,,
24,320,500,3.841302254,494.375
6,160,492,,
6,160,506,,
6,160,495,,
6,160,437,,
6,160,566,,
6,160,610,,
6,160,564,,
6,160,1516,4.790076931,648.25
24,160,354,,
24,160,426,,
24,160,352,,
24,160,414,,
24,160,418,,
24,160,436,,
24,160,336,,
24,160,373,2.938599455,388.625
6,40,408,,
6,40,644,,
6,40,738,,
6,40,421,,
6,40,865,,
6,40,494,,
6,40,682,,
6,40,534,2.938599455,598.25
12,40,501,,
12,40,806,,
12,40,327,,
12,40,752,,
12,40,296,,
12,40,481,,
12,40,267,,
12,40,314,2.115477217,468
48,320,608,,
48,320,459,,
48,320,358,,
48,320,641,,
48,320,364,,
48,320,536,,
48,320,502,,
48,320,283,2.938599455,468.875
6,80,519,,
6,80,730,,
6,80,506,,
6,80,872,,
6,80,455,,
6,80,638,,
6,80,397,,
6,80,436,3.841302254,569.125
24,40,263,,
24,40,295,,
24,40,279,,
24,40,255,,
24,40,227,,
24,40,245,,
24,40,206,,
24,40,273,1.415037499,255.375
48,80,247,,
48,80,215,,
48,80,217,,
48,80,171,,
48,80,204,,
48,80,166,,
48,80,193,,
48,80,189,1.415037499,200.25
12,160,269,,
12,160,322,,
12,160,252,,
12,160,1679,,
12,160,869,,
12,160,547,,
12,160,482,,
12,160,582,3.841302254,625.25
12,320,616,,
12,320,927,,
12,320,494,,
12,320,603,,
12,320,625,,
12,320,496,,
12,320,430,,
12,320,634,4.790076931,603.125
12,80,348,,
12,80,729,,
12,80,1211,,
12,80,549,,
12,80,483,,
12,80,558,,
12,80,408,,
12,80,427,2.938599455,589.125
