width(px),distance(px),mt(ms),mean time,ID
12,80,546,,
12,80,788,,
12,80,360,,
12,80,330,,
12,80,338,,
12,80,322,,
12,80,360,,
12,80,339,422.875,2.938599455
12,160,562,,
12,160,562,,
12,160,398,,
12,160,532,,
12,160,398,,
12,160,592,,
12,160,384,,
12,160,479,488.375,3.841302254
12,40,1367,,
12,40,308,,
12,40,1170,,
12,40,360,,
12,40,780,,
12,40,351,,
12,40,301,,
12,40,292,616.125,2.115477217
24,40,278,,
24,40,239,,
24,40,226,,
24,40,241,,
24,40,210,,
24,40,202,,
24,40,223,,
24,40,196,226.875,1.415037499
48,320,651,,
48,320,660,,
48,320,420,,
48,320,690,,
48,320,420,,
48,320,330,,
48,320,398,,
48,320,368,492.125,2.938599455
48,160,286,,
48,160,276,,
48,160,264,,
48,160,254,,
48,160,270,,
48,160,217,,
48,160,278,,
48,160,241,260.75,2.115477217
12,320,734,,
12,320,758,,
12,320,615,,
12,320,780,,
12,320,697,,
12,320,629,,
12,320,681,,
12,320,617,688.875,4.790076931
6,80,725,,
6,80,475,,
6,80,425,,
6,80,668,,
6,80,472,,
6,80,690,,
6,80,617,,
6,80,997,633.625,3.841302254
48,80,239,,
48,80,235,,
48,80,216,,
48,80,210,,
48,80,210,,
48,80,196,,
48,80,638,,
48,80,464,301,1.415037499
6,40,382,,
6,40,631,,
6,40,374,,
6,40,427,,
6,40,376,,
6,40,330,,
6,40,366,,
6,40,397,410.375,2.938599455
48,40,219,,
48,40,196,,
48,40,201,,
48,40,188,,
48,40,180,,
48,40,180,,
48,40,195,,
48,40,173,191.5,0.874469118
6,160,472,,
6,160,548,,
6,160,690,,
6,160,578,,
6,160,502,,
6,160,736,,
6,160,464,,
6,160,712,587.75,4.790076931
24,160,652,,
24,160,360,,
24,160,892,,
24,160,804,,
24,160,396,,
24,160,338,,
24,160,346,,
24,160,331,514.875,2.938599455
24,80,361,,
24,80,283,,
24,80,300,,
24,80,270,,
24,80,278,,
24,80,248,,
24,80,246,,
24,80,248,279.25,2.115477217
24,320,554,,
24,320,466,,
24,320,510,,
24,320,398,,
24,320,472,,
24,320,382,,
24,320,532,,
24,320,1200,564.25,3.841302254
6,320,690,,
6,320,1942,,
6,320,848,,
6,320,1050,,
6,320,2046,,
6,320,1020,,
6,320,1006,,
6,320,1088,1211.25,5.763765654
